|AGE|START_A|END_A|MALE_63|FEMALE_63|MALE_64|FEMALE_64|MALE_65|FEMALE_65|MALE_66|FEMALE_66|MALE_67|FEMALE_67
0|0-4|0|4|3362|3169|3284|3103|3270|2967|3270|2967|2989|2893
1|5-9|5|9|3768|3245|3448|3235|3444|3178|3444|3178|3202|3103
2|10-14|10|14|3862|3276|3523|3301|3570|3276|3570|3276|3349|3172
3|15-19|15|19|3638|3380|3591|3339|3648|3341|3648|3341|3510|3355
4|20-24|20|24|3878|3529|3626|3466|3719|3377|3719|3377|3645|3428
5|25-29|25|29|4420|3643|3735|3617|3726|3494|3726|3494|3741|3495
6|30-34|30|34|4586|3700|3786|3689|3815|3642|3815|3642|3809|3524
7|35-39|35|39|5673|3768|3837|3735|3860|3731|3860|3731|3840|3638
8|40-44|40|44|6003|3735|3881|3808|3907|3776|3907|3776|3924|3783
9|45-49|45|49|5429|3633|3956|3780|3948|3851|3948|3851|3994|3900
10|50-54|50|54|5045|3633|3968|3684|4033|3837|4033|3837|4067|3949
11|55-59|55|59|4349|3707|3945|3714|4041|3755|4041|3755|4122|4026
12|60-64|60|64|3264|3661|3950|3781|3995|3788|3995|3788|4229|4002
13|65-69|65|69|2145|3619|3950|3744|3986|3854|3986|3854|4222|3932
14|70-74|70|74|1365|3630|3894|3689|3979|3819|3979|3819|4160|3941
15|75-79|75|79|815|3590|3767|3727|3929|3765|3929|3765|4109|4002
16|80-84|80|84|491|826|534|845|526|834|526|834|562|906
17|85-89|85|89|226|453|251|495|266|526|266|526|303|580
18|90-94|90|94|74|188|89|203|101|196|101|196|92|231
19|95-99|95|99|27|50|30|55|23|71|23|71|34|74
20|100-up|100|up|0|0|0|0|0|0|0|0|0|0
