|YYMM|CC-CODE|CC-DESC|RCODE-CODE|RCODE-DESC|CCAATT-CODE|CCAATT-DESC|CCAATTMM-CODE|CCAATTMM-DESC|MALE|FEMALE|TOTAL|HOUSE
5712|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |54,887|64,048|118,935|62,080|
5812|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |56,593|65,846|122,439|65,279|
5912|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |58,475|67,989|126,464|70,190|
6012|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |60,313|70,187|130,500|73,533|
6112|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |44,701|51,767|96,468|48,843|
6212|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |46,407|53,676|100,083|50,051|
6312|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |47,495|55,017|102,512|51,485|
6412|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |48,652|56,388|105,040|52,740|
6512|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |49,657|57,541|107,198|53,855|
6612|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |50,710|59,052|109,762|56,352|
6712|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |52,035|60,762|112,797|57,746|
