YYMM|CC-CODE|CC-DESC|RCODE-CODE|RCODE-DESC|CCAATT-CODE|CCAATT-DESC|CCAATTMM-CODE|CCAATTMM-DESC|MALE|FEMALE|TOTAL|HOUSE
5712|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |54887|64048|118935|62080
5812|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |56593|65846|122439|65279
5912|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |58475|67989|126464|70190
6012|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |60313|70187|130500|73533
6112|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |44701|51767|96468|48843
6212|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |46407|53676|100083|50051
6312|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |47495|55017|102512|51485
6412|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |48652|56388|105040|52740
6512|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |49657|57541|107198|53855
6612|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |50710|59052|109762|56352
6712|12|จังหวัดนนทบุรี |1203|อำเภอบางใหญ่|0| |0| |52035|60762|112797|57746
