id|hospcode|areacode|date_com|b_year|target|result|result1|result2|result3|result4
626c89f6b8d9f7ed90c72c719775eb07|10757|12030115|202311141238|2566|565|29|16|10|3|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030114|202311141238|2566|339|7|2|3|0|2
626c89f6b8d9f7ed90c72c719775eb07|10757|12030113|202311141238|2566|316|40|35|3|2|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030112|202311141238|2566|99|12|7|4|1|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030111|202311141238|2566|325|36|8|20|4|4
626c89f6b8d9f7ed90c72c719775eb07|10757|12030110|202311141238|2566|644|24|6|11|5|2
626c89f6b8d9f7ed90c72c719775eb07|10757|12030109|202311141238|2566|322|33|20|10|1|2
626c89f6b8d9f7ed90c72c719775eb07|10757|12030108|202311141238|2566|500|27|8|10|4|5
626c89f6b8d9f7ed90c72c719775eb07|10757|12030107|202311141238|2566|307|8|3|5|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030106|202311141238|2566|771|731|15|710|2|4
626c89f6b8d9f7ed90c72c719775eb07|10757|12030105|202311141238|2566|422|398|17|379|2|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030104|202311141238|2566|343|67|45|18|2|2
626c89f6b8d9f7ed90c72c719775eb07|10757|12030103|202311141238|2566|560|201|11|188|2|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030101|202311141238|2566|161|142|44|98|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030106|202411161204|2567|796|14|2|3|4|5
626c89f6b8d9f7ed90c72c719775eb07|10757|12030112|202411161204|2567|102|2|0|0|2|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030115|202411161204|2567|573|23|14|6|1|2
626c89f6b8d9f7ed90c72c719775eb07|10757|12030103|202411161204|2567|565|16|5|5|2|4
626c89f6b8d9f7ed90c72c719775eb07|10757|12030104|202411161204|2567|345|13|4|6|3|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030105|202411161204|2567|430|7|1|3|3|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030107|202411161204|2567|313|1|1|0|0|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030108|202411161204|2567|499|4|1|2|1|0
626c89f6b8d9f7ed90c72c719775eb07|10757|12030109|202411161204|2567|332|11|0|6|1|4
626c89f6b8d9f7ed90c72c719775eb07|10757|12030110|202411161204|2567|637|7|3|2|0|2
626c89f6b8d9f7ed90c72c719775eb07|10757|12030111|202411161204|2567|325|6|3|0|3|0
