id,hospcode,areacode,date_com,b_year,target,result,resultq1,resultq2,resultq3,resultq4,target1,result1,result1q1,result1q2,result1q3,result1q4
c70689abe5b3efe5d085b8c3c30141f7,10757,12030115,202311141238,2566,565,29,16,10,3,0,352,13,6,5,2,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030114,202311141238,2566,339,7,2,3,0,2,206,4,1,2,0,1
c70689abe5b3efe5d085b8c3c30141f7,10757,12030113,202311141238,2566,316,40,35,3,2,0,173,16,11,3,2,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030112,202311141238,2566,99,12,7,4,1,0,52,9,5,3,1,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030111,202311141238,2566,325,36,8,20,4,4,195,25,5,12,4,4
c70689abe5b3efe5d085b8c3c30141f7,10757,12030110,202311141238,2566,644,24,6,11,5,2,420,19,5,7,5,2
c70689abe5b3efe5d085b8c3c30141f7,10757,12030109,202311141238,2566,322,33,20,10,1,2,183,18,12,5,0,1
c70689abe5b3efe5d085b8c3c30141f7,10757,12030108,202311141238,2566,500,27,8,10,4,5,299,13,5,0,3,5
c70689abe5b3efe5d085b8c3c30141f7,10757,12030107,202311141238,2566,307,8,3,5,0,0,155,7,3,4,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030106,202311141238,2566,771,731,15,710,2,4,518,506,11,490,1,4
c70689abe5b3efe5d085b8c3c30141f7,10757,12030105,202311141238,2566,422,398,17,379,2,0,291,282,13,267,2,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030104,202311141238,2566,343,67,45,18,2,2,249,46,29,13,2,2
c70689abe5b3efe5d085b8c3c30141f7,10757,12030103,202311141238,2566,560,201,11,188,2,0,342,131,8,121,2,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030101,202311141238,2566,161,142,44,98,0,0,102,98,34,64,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030115,202411161204,2567,573,23,14,6,1,2,344,9,6,1,0,2
c70689abe5b3efe5d085b8c3c30141f7,10757,12030106,202411161204,2567,796,14,2,3,4,5,521,12,2,1,4,5
c70689abe5b3efe5d085b8c3c30141f7,10757,12030109,202411161204,2567,332,11,0,6,1,4,186,7,0,5,0,2
c70689abe5b3efe5d085b8c3c30141f7,10757,12030108,202411161204,2567,499,4,1,2,1,0,295,3,1,1,1,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030104,202411161204,2567,345,13,4,6,3,0,235,7,2,2,3,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030113,202411161204,2567,317,5,1,2,2,0,173,4,0,2,2,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030101,202411161204,2567,153,34,1,33,0,0,93,33,1,32,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030105,202411161204,2567,430,7,1,3,3,0,292,3,1,1,1,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030110,202411161204,2567,637,7,3,2,0,2,389,2,0,1,0,1
c70689abe5b3efe5d085b8c3c30141f7,10757,12030111,202411161204,2567,325,6,3,0,3,0,188,1,1,0,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030107,202411161204,2567,313,1,1,0,0,0,154,0,0,0,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030114,202411161204,2567,344,7,3,1,2,1,207,6,3,1,1,1
c70689abe5b3efe5d085b8c3c30141f7,10757,12030112,202411161204,2567,102,2,0,0,2,0,52,2,0,0,2,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030103,202411161204,2567,565,16,5,5,2,4,331,9,3,3,0,3
c70689abe5b3efe5d085b8c3c30141f7,10757,12030104,202511161156,2568,355,42,9,25,4,4,233,23,6,12,2,3
c70689abe5b3efe5d085b8c3c30141f7,10757,12030109,202511161156,2568,337,26,1,13,11,1,183,11,1,7,2,1
c70689abe5b3efe5d085b8c3c30141f7,10757,12030110,202511161156,2568,644,23,1,16,3,3,380,18,0,13,2,3
c70689abe5b3efe5d085b8c3c30141f7,10757,12030112,202511161156,2568,102,8,0,5,1,2,49,5,0,3,1,1
c70689abe5b3efe5d085b8c3c30141f7,10757,12030113,202511161156,2568,313,20,5,9,6,0,167,12,1,8,3,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030114,202511161156,2568,351,10,2,0,6,2,194,7,1,0,5,1
c70689abe5b3efe5d085b8c3c30141f7,10757,12030106,202511161156,2568,809,35,5,25,3,2,510,19,2,12,3,2
c70689abe5b3efe5d085b8c3c30141f7,10757,12030107,202511161156,2568,324,2,2,0,0,0,151,1,1,0,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030101,202511161156,2568,156,26,1,24,0,1,95,14,1,13,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030108,202511161156,2568,507,18,1,3,11,3,295,11,1,1,8,1
c70689abe5b3efe5d085b8c3c30141f7,10757,12030115,202511161156,2568,574,31,12,16,2,1,337,14,2,9,2,1
c70689abe5b3efe5d085b8c3c30141f7,10757,12030111,202511161156,2568,334,19,1,18,0,0,190,8,1,7,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030105,202511161156,2568,433,40,5,24,9,2,286,21,2,16,2,1
c70689abe5b3efe5d085b8c3c30141f7,10757,12030103,202511161156,2568,566,18,11,0,3,4,318,7,2,0,2,3
c70689abe5b3efe5d085b8c3c30141f7,10757,12030101,202603100857,2569,174,6,2,4,0,0,105,3,2,1,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030103,202603100857,2569,581,18,2,16,0,0,328,7,1,6,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030107,202603100857,2569,334,2,1,1,0,0,146,0,0,0,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030109,202603100857,2569,341,8,1,7,0,0,183,7,1,6,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030110,202603100857,2569,670,20,3,17,0,0,384,6,3,3,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030114,202603100857,2569,369,7,1,6,0,0,200,4,0,4,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030113,202603100857,2569,314,7,3,4,0,0,165,6,3,3,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030106,202603100857,2569,839,17,8,9,0,0,509,12,7,5,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030104,202603100857,2569,378,19,1,18,0,0,236,6,1,5,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030105,202603100857,2569,446,11,5,6,0,0,294,4,3,1,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030115,202603100857,2569,602,26,11,15,0,0,344,10,4,6,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030108,202603100857,2569,520,9,2,7,0,0,297,5,2,3,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030111,202603100857,2569,342,3,1,2,0,0,190,2,1,1,0,0
c70689abe5b3efe5d085b8c3c30141f7,10757,12030112,202603100857,2569,104,2,0,2,0,0,49,1,0,1,0,0
