id|hospcode|areacode|date_com|b_year|target|result|result1|result2|result3|result4|yymm|date_fz
9702fa28cd2ec73ecc6af89d14f46874|10757|12030101|202311141324|2566|152|134|50|81|0|3||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030106|202311141324|2566|725|699|9|668|13|9||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030105|202311141324|2566|369|353|17|327|6|3||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030104|202311141324|2566|307|64|40|14|5|5||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030103|202311141324|2566|509|197|10|171|7|9||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030107|202311141324|2566|302|11|5|3|1|2||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030108|202311141324|2566|460|31|6|8|9|8||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030109|202311141324|2566|287|35|15|10|4|6||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030111|202311141324|2566|313|46|10|21|9|6||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030110|202311141324|2566|604|40|10|13|9|8||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030112|202311141324|2566|86|14|6|4|4|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030114|202311141324|2566|311|18|5|1|9|3||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030113|202311141324|2566|295|45|30|6|3|6||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030115|202311141324|2566|491|26|10|12|1|3||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030110|202411161240|2567|595|29|8|8|4|9||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030114|202411161240|2567|313|23|3|4|9|7||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030108|202411161240|2567|453|29|11|4|9|5||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030109|202411161240|2567|285|15|4|4|2|5||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030111|202411161240|2567|309|22|11|3|6|2||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030103|202411161240|2567|507|30|7|7|7|9||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030105|202411161240|2567|371|16|5|5|4|2||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030106|202411161240|2567|738|42|16|9|8|9||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030107|202411161240|2567|301|5|0|3|2|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030115|202411161240|2567|498|24|8|9|4|3||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030113|202411161240|2567|291|21|9|4|7|1||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030112|202411161240|2567|86|3|1|0|2|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030104|202411161240|2567|311|20|6|7|5|2||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030101|202411161240|2567|140|33|0|30|2|1||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030104|202511161215|2568|313|27|0|21|1|5||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030106|202511161215|2568|749|39|4|25|6|4||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030103|202511161215|2568|509|11|1|1|3|6||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030105|202511161215|2568|371|33|0|24|7|2||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030101|202511161215|2568|144|27|1|24|0|2||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030109|202511161215|2568|289|25|2|14|7|2||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030107|202511161215|2568|311|2|1|0|1|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030108|202511161215|2568|458|20|2|3|10|5||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030110|202511161215|2568|593|26|0|19|3|4||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030113|202511161215|2568|292|23|5|13|5|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030111|202511161215|2568|316|19|1|17|0|1||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030114|202511161215|2568|312|9|0|0|6|3||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030115|202511161215|2568|497|23|3|15|2|3||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030112|202511161215|2568|87|9|0|5|1|3||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030106|202603120904|2569|774|13|8|5|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030101|202603120904|2569|160|6|3|3|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030104|202603120904|2569|335|18|5|13|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030105|202603120904|2569|386|8|6|2|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030108|202603120904|2569|466|11|4|7|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030107|202603120904|2569|321|1|0|1|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030110|202603120904|2569|616|20|3|17|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030103|202603120904|2569|522|17|3|14|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030109|202603120904|2569|288|9|3|6|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030111|202603120904|2569|321|5|2|3|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030112|202603120904|2569|89|1|0|1|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030113|202603120904|2569|294|6|3|3|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030115|202603120904|2569|520|15|5|10|0|0||
9702fa28cd2ec73ecc6af89d14f46874|10757|12030114|202603120904|2569|329|7|3|4|0|0||
