id,hospcode,areacode,date_com,b_year,target,result,result10,result11,result12,result01,result02,result03,result04,result05,result06,result07,result08,result09
"92a705c26f22754d7462e9f742436b6f","06147","52030101","202411162229","2567",2395,7307,359,507,1382,1179,381,539,552,356,873,415,364,400
"92a705c26f22754d7462e9f742436b6f","10692","17010100","202411160753","2567",79355,369567,31174,32477,27074,32685,29962,29943,27750,30906,31993,32284,32490,30829
"92a705c26f22754d7462e9f742436b6f","01924","21010504","202411161956","2567",3556,8003,663,529,572,687,739,518,641,627,556,840,1119,512
"92a705c26f22754d7462e9f742436b6f","08105","71080108","202411170803","2567",1566,4584,359,371,431,429,336,379,286,354,362,392,354,531
"92a705c26f22754d7462e9f742436b6f","10363","53060304","202411161608","2567",976,3754,553,369,251,405,341,248,246,183,277,376,235,270
"92a705c26f22754d7462e9f742436b6f","08053","71040101","202411170803","2567",1921,6966,488,560,457,664,451,584,435,497,704,1019,647,460
"92a705c26f22754d7462e9f742436b6f","01815","20011406","202411151959","2567",4753,14970,1039,1197,1233,1317,1022,1190,846,1827,1379,1946,1024,950
"92a705c26f22754d7462e9f742436b6f","41330","13020109","202411162318","2567",10898,33438,2945,2763,2446,2942,2610,2644,2520,2824,2690,3144,3050,2860
"92a705c26f22754d7462e9f742436b6f","04732","42080105","202411162110","2567",1626,8102,616,771,1255,886,750,512,566,502,781,627,440,399
"92a705c26f22754d7462e9f742436b6f","06318","53071003","202411161608","2567",4264,17604,2601,1686,2333,1283,2503,880,695,1527,942,1246,853,1055
"92a705c26f22754d7462e9f742436b6f","10602","63080303","202411171000","2567",2706,8251,762,1105,1842,596,430,232,482,492,612,734,507,457
"92a705c26f22754d7462e9f742436b6f","03829","35010610","202411161402","2567",1264,4148,368,228,211,399,374,473,251,249,627,433,276,260
"92a705c26f22754d7462e9f742436b6f","01989","21050609","202411161956","2567",1387,4636,305,326,354,356,475,353,422,402,415,423,386,419
"92a705c26f22754d7462e9f742436b6f","08082","71060805","202411170803","2567",881,1950,0,0,0,0,276,324,383,355,570,42,0,0
"92a705c26f22754d7462e9f742436b6f","02611","30070403","202411260708","2567",4177,17320,1151,1669,2298,1732,1432,3133,650,810,1365,1615,885,836
"92a705c26f22754d7462e9f742436b6f","77507","52011600","202411162229","2567",17335,19302,580,1058,678,2695,1290,474,169,210,9500,2441,131,76
"92a705c26f22754d7462e9f742436b6f","07880","70020203","202411160839","2567",2247,8604,487,1150,618,1018,810,617,437,579,723,662,926,626
"92a705c26f22754d7462e9f742436b6f","01493","16041102","202411171130","2567",2157,9562,574,886,577,1890,1136,786,502,798,621,564,621,608
"92a705c26f22754d7462e9f742436b6f","08076","71060201","202411170803","2567",2879,8306,647,522,841,1059,1010,755,577,654,897,535,599,243
"92a705c26f22754d7462e9f742436b6f","04206","39030501","202411161054","2567",1672,8404,524,594,1000,706,692,840,834,670,826,730,849,145
"92a705c26f22754d7462e9f742436b6f","22756","93010100","202411120826","2567",3123,14485,1251,1488,1202,1174,1033,1498,1299,962,981,1782,927,888
"92a705c26f22754d7462e9f742436b6f","03889","35060304","202411161402","2567",1809,11190,547,909,1204,1300,989,2325,585,706,730,762,678,455
"92a705c26f22754d7462e9f742436b6f","10140","96060607","202411160257","2567",2729,6513,370,711,800,654,705,1040,335,347,262,647,357,285
"92a705c26f22754d7462e9f742436b6f","08055","71040301","202411170803","2567",256,257,0,0,0,0,0,0,0,2,1,254,0,0
"92a705c26f22754d7462e9f742436b6f","14208","93040302","202411120826","2567",2270,10429,623,1224,1135,1224,1075,907,544,468,655,754,1236,584
"92a705c26f22754d7462e9f742436b6f","10068","95060601","202411161613","2567",5871,17552,1741,1129,1549,2872,1187,1272,2017,680,811,2509,1130,655
"92a705c26f22754d7462e9f742436b6f","09370","86020402","202411161528","2567",5025,16695,2749,1300,1501,1924,918,683,1552,1880,961,951,1225,1051
"92a705c26f22754d7462e9f742436b6f","02603","30060706","202411260708","2567",3124,12886,1193,1557,2533,1739,855,826,770,735,917,930,831,0
"92a705c26f22754d7462e9f742436b6f","08583","76020302","202411161550","2567",3316,11217,1668,1297,629,929,1215,562,575,684,1311,1001,785,561
"92a705c26f22754d7462e9f742436b6f","11308","76020105","202411161550","2567",29376,111341,8588,9209,10391,10091,8477,8368,8754,9321,8216,11153,9628,9145
"92a705c26f22754d7462e9f742436b6f","99875","94060101","202411161514","2567",2384,5284,427,515,659,561,418,707,315,269,169,432,410,450
"92a705c26f22754d7462e9f742436b6f","14991","67031611","202411160838","2567",2953,11927,641,854,1597,2329,987,959,648,705,855,1288,504,560
"92a705c26f22754d7462e9f742436b6f","77736","77070100","202411160651","2567",6732,23321,1960,2015,1840,2634,2162,1918,1616,1793,1770,2139,1806,1668
