id,hospcode,areacode,date_com,b_year,target,result,result10,result11,result12,result01,result02,result03,result04,result05,result06,result07,result08,result09
"92a705c26f22754d7462e9f742436b6f","10803","18030100","202511161108","2568",16661,81268,6440,6044,6335,7817,8127,7769,6176,6322,7130,6771,6803,5535
"92a705c26f22754d7462e9f742436b6f","06752","57080505","202511161111","2568",2739,11328,740,979,1638,762,597,890,908,1131,771,1243,728,942
"92a705c26f22754d7462e9f742436b6f","06826","58010203","202511160822","2568",1617,6047,522,617,544,556,442,470,299,404,512,821,292,568
"92a705c26f22754d7462e9f742436b6f","09346","85050204","202511160702","2568",2915,9919,654,1144,1555,714,957,1234,466,514,735,609,737,600
"92a705c26f22754d7462e9f742436b6f","04926","44011403","202511170954","2568",3742,13732,548,632,441,805,488,1172,569,484,2286,3954,1821,534
"92a705c26f22754d7462e9f742436b6f","41308","67031917","202511171153","2568",2808,11146,790,537,1403,626,1201,1933,783,628,942,762,817,724
"92a705c26f22754d7462e9f742436b6f","01677","19010506","202511161420","2568",1283,5869,518,444,382,416,390,384,378,431,938,640,473,475
"92a705c26f22754d7462e9f742436b6f","05079","45010214","202511170333","2568",14615,31560,1035,1457,1050,725,667,1518,785,990,2036,4741,15776,782
"92a705c26f22754d7462e9f742436b6f","13997","50240113","202511152253","2568",2391,9771,1159,1234,1009,771,840,417,867,791,420,1051,581,631
"92a705c26f22754d7462e9f742436b6f","11381","86050107","202511162036","2568",24919,109722,9054,11039,10517,10265,9468,10186,7995,8831,8387,8786,7379,7815
"92a705c26f22754d7462e9f742436b6f","06395","54040506","202511162108","2568",2703,10303,616,573,770,2054,913,2016,432,827,558,462,528,554
"92a705c26f22754d7462e9f742436b6f","09324","85020402","202511160702","2568",1475,6502,457,816,655,533,761,516,234,395,749,362,359,665
"92a705c26f22754d7462e9f742436b6f","05810","49070502","202511142047","2568",2605,11002,731,1116,1217,1279,969,788,619,847,1179,809,874,574
"92a705c26f22754d7462e9f742436b6f","09075","82030403","202511170311","2568",1568,5873,320,510,515,906,859,418,422,249,394,652,378,250
"92a705c26f22754d7462e9f742436b6f","09322","85020105","202511160702","2568",1319,5424,333,792,364,559,498,298,269,409,675,481,350,396
"92a705c26f22754d7462e9f742436b6f","06554","56090204","202511162249","2568",2579,12099,622,653,1327,1021,1167,1894,766,934,922,1055,886,852
"92a705c26f22754d7462e9f742436b6f","00069","90010100","202511170434","2568",1237,3491,273,217,224,383,310,334,243,264,291,317,317,318
"92a705c26f22754d7462e9f742436b6f","06648","57010304","202511161111","2568",1800,4092,24,200,276,358,268,1141,131,313,371,414,350,246
"92a705c26f22754d7462e9f742436b6f","04482","41010302","202511162227","2568",10213,30687,2799,4272,3530,2615,3006,1105,1275,2612,1948,3474,2112,1939
"92a705c26f22754d7462e9f742436b6f","01509","16051104","202511162058","2568",1767,5745,420,621,1451,1144,418,219,0,26,309,329,537,349
"92a705c26f22754d7462e9f742436b6f","99791","620101nu","202511162204","2568",5958,13424,1408,1451,1539,1882,999,691,726,1557,818,685,1059,609
"92a705c26f22754d7462e9f742436b6f","01149","14010605","202511160638","2568",8885,33730,2866,3061,2774,2999,2715,2889,2408,2737,2637,2987,2649,3009
"92a705c26f22754d7462e9f742436b6f","14048","64050202","202511170533","2568",2764,10988,841,2137,2730,525,459,561,429,821,509,461,934,581
"92a705c26f22754d7462e9f742436b6f","02211","24021401","202511162107","2568",4409,11346,623,552,1866,4776,464,404,431,465,557,603,220,394
"92a705c26f22754d7462e9f742436b6f","06890","60010304","202511161620","2568",1422,6050,389,597,360,511,504,618,468,653,557,498,537,358
"92a705c26f22754d7462e9f742436b6f","10097","96010705","202511170420","2568",5109,14881,1455,1873,1794,2026,772,568,1402,599,1143,1724,667,858
"92a705c26f22754d7462e9f742436b6f","05811","50010702","202511152253","2568",4920,13933,1121,1047,949,1460,1191,892,609,870,1532,1372,1845,1045
"92a705c26f22754d7462e9f742436b6f","03948","36020104","202511161658","2568",1979,7763,539,424,519,499,1162,874,525,538,706,629,531,818
"92a705c26f22754d7462e9f742436b6f","09243","84120305","202511170539","2568",1521,4773,302,178,235,471,385,1039,688,325,260,312,293,285
"92a705c26f22754d7462e9f742436b6f","03902","35070204","202511161753","2568",2014,7569,519,839,488,466,1283,785,492,594,684,590,449,380
"92a705c26f22754d7462e9f742436b6f","06772","57100704","202511161111","2568",4336,14683,639,2638,834,980,1246,1984,825,1102,1019,950,1395,1075
"92a705c26f22754d7462e9f742436b6f","10108","96030401","202511170420","2568",3496,11348,1317,748,643,817,1447,932,1467,648,521,1371,772,665
"92a705c26f22754d7462e9f742436b6f","05812","50010805","202511152253","2568",4703,14315,978,1283,1000,1211,859,946,723,781,1603,1557,2252,1122
"92a705c26f22754d7462e9f742436b6f","04143","37050409","202511161315","2568",2110,9841,419,970,805,646,1469,597,554,747,826,1104,919,981
"92a705c26f22754d7462e9f742436b6f","41347","56011002","202511162249","2568",12947,30257,8723,8372,7558,5604,0,0,0,0,0,0,0,0
"92a705c26f22754d7462e9f742436b6f","05891","50071106","202511152253","2568",721,2994,222,151,153,221,334,170,152,248,374,444,250,275
"92a705c26f22754d7462e9f742436b6f","02753","30160801","202511160227","2568",7783,25585,2934,1966,2491,2489,2936,2188,2578,1925,2076,1793,1359,850
"92a705c26f22754d7462e9f742436b6f","03543","34020402","202511170750","2568",1531,5114,847,820,419,638,337,523,382,418,677,0,0,53
"92a705c26f22754d7462e9f742436b6f","28843","44130103","202511170954","2568",12564,49014,3967,4331,4685,3968,4251,4382,3949,4247,4631,4776,1481,4346
"92a705c26f22754d7462e9f742436b6f","05952","50121505","202511152253","2568",3743,16600,1738,2436,2231,1255,1135,1156,937,1864,828,1174,918,928
"92a705c26f22754d7462e9f742436b6f","07267","63010604","202511171731","2568",7341,15915,901,1229,3262,3731,2089,1265,671,489,816,428,554,481
"92a705c26f22754d7462e9f742436b6f","06511","55070301","202511160614","2568",3488,7627,422,524,3580,291,1097,629,144,373,386,183,0,0
"92a705c26f22754d7462e9f742436b6f","04144","37050501","202511161315","2568",2847,10987,663,659,713,1011,2306,1495,425,522,708,1096,791,610
