id,hospcode,areacode,date_com,b_year,result
"2d85d6ec39840f8051854b028fa13073","04094","37010201","202311160805","2566",5
"2d85d6ec39840f8051854b028fa13073","01324","14130412","202311152244","2566",1
"2d85d6ec39840f8051854b028fa13073","07484","65010802","202311162019","2566",273
"2d85d6ec39840f8051854b028fa13073","02028","22020210","202311160701","2566",1
"2d85d6ec39840f8051854b028fa13073","07483","65010703","202311162019","2566",2
"2d85d6ec39840f8051854b028fa13073","07496","65011901","202311162019","2566",4
"2d85d6ec39840f8051854b028fa13073","04783","43010307","202311160552","2566",144
"2d85d6ec39840f8051854b028fa13073","07492","65011504","202311162019","2566",1007
"2d85d6ec39840f8051854b028fa13073","07295","63020309","202311160932","2566",1
"2d85d6ec39840f8051854b028fa13073","11251","65030105","202311162019","2566",1242
"2d85d6ec39840f8051854b028fa13073","10699","27010102","202311161603","2566",1114
"2d85d6ec39840f8051854b028fa13073","11460","94070100","202311161423","2566",88
"2d85d6ec39840f8051854b028fa13073","10866","27020101","202311161603","2566",921
"2d85d6ec39840f8051854b028fa13073","11320","77070100","202311160811","2566",12
"2d85d6ec39840f8051854b028fa13073","11318","77050104","202311160811","2566",222
"2d85d6ec39840f8051854b028fa13073","11317","77040105","202311160811","2566",60
"2d85d6ec39840f8051854b028fa13073","04810","38010304","202311160711","2566",317
"2d85d6ec39840f8051854b028fa13073","04809","38010201","202311160711","2566",399
"2d85d6ec39840f8051854b028fa13073","04811","38010401","202311160711","2566",175
"2d85d6ec39840f8051854b028fa13073","05827","50020612","202311170830","2566",2
"2d85d6ec39840f8051854b028fa13073","04812","38010404","202311160711","2566",953
"2d85d6ec39840f8051854b028fa13073","04813","38010508","202311160711","2566",170
"2d85d6ec39840f8051854b028fa13073","04814","38010605","202311160711","2566",183
"2d85d6ec39840f8051854b028fa13073","04815","38010705","202311160711","2566",232
"2d85d6ec39840f8051854b028fa13073","04817","38010910","202311160711","2566",367
"2d85d6ec39840f8051854b028fa13073","04818","38010907","202311160711","2566",178
"2d85d6ec39840f8051854b028fa13073","04816","38010806","202311160711","2566",223
"2d85d6ec39840f8051854b028fa13073","04105","37010903","202311160805","2566",1
"2d85d6ec39840f8051854b028fa13073","11364","84100503","202311160440","2566",4
"2d85d6ec39840f8051854b028fa13073","01429","15070507","202311160913","2566",20
"2d85d6ec39840f8051854b028fa13073","11034","42070106","202311171034","2566",247
"2d85d6ec39840f8051854b028fa13073","21739","43010304","202311160552","2566",50
"2d85d6ec39840f8051854b028fa13073","21356","43140103","202311160552","2566",401
"2d85d6ec39840f8051854b028fa13073","10241","43070304","202311160552","2566",1
"2d85d6ec39840f8051854b028fa13073","10706","43010103","202311160552","2566",2159
"2d85d6ec39840f8051854b028fa13073","11042","43050103","202311160552","2566",2152
"2d85d6ec39840f8051854b028fa13073","11044","43070101","202311160552","2566",654
"2d85d6ec39840f8051854b028fa13073","11033","42060105","202311171034","2566",258
"2d85d6ec39840f8051854b028fa13073","11289","72020102","202311161216","2566",324
"2d85d6ec39840f8051854b028fa13073","13960","45190307","202311150609","2566",1
"2d85d6ec39840f8051854b028fa13073","11316","77030306","202311160811","2566",170
"2d85d6ec39840f8051854b028fa13073","06847","58020501","202311160542","2566",1
"2d85d6ec39840f8051854b028fa13073","10829","21030100","202311170943","2566",403
"2d85d6ec39840f8051854b028fa13073","10828","21020201","202311170943","2566",2926
"2d85d6ec39840f8051854b028fa13073","04565","41070207","202310181814","2566",1
"2d85d6ec39840f8051854b028fa13073","10153","96080301","202311151853","2566",6
"2d85d6ec39840f8051854b028fa13073","08109","71091208","202311170906","2566",6
"2d85d6ec39840f8051854b028fa13073","08110","71090204","202311170906","2566",4
"2d85d6ec39840f8051854b028fa13073","08111","71090301","202311170906","2566",1
"2d85d6ec39840f8051854b028fa13073","08113","71090502","202311170906","2566",54
"2d85d6ec39840f8051854b028fa13073","01428","15070403","202311160913","2566",20
"2d85d6ec39840f8051854b028fa13073","01426","15070204","202311160913","2566",8
"2d85d6ec39840f8051854b028fa13073","03092","32010503","202311161643","2566",16
"2d85d6ec39840f8051854b028fa13073","03287","33011901","202311160358","2566",1
"2d85d6ec39840f8051854b028fa13073","01784","19110508","202311160757","2566",8
"2d85d6ec39840f8051854b028fa13073","10827","21011300","202311170943","2566",427
"2d85d6ec39840f8051854b028fa13073","10675","60010100","202311161704","2566",7379
"2d85d6ec39840f8051854b028fa13073","11216","60090808","202311161704","2566",1
"2d85d6ec39840f8051854b028fa13073","11032","42040101","202311171034","2566",400
"2d85d6ec39840f8051854b028fa13073","11078","46030111","202311121525","2566",367
"2d85d6ec39840f8051854b028fa13073","09788","93011302","202311160913","2566",3
"2d85d6ec39840f8051854b028fa13073","10724","64010601","202311170558","2566",316
"2d85d6ec39840f8051854b028fa13073","09782","93011008","202311160913","2566",7
"2d85d6ec39840f8051854b028fa13073","11537","10080100","202311160936","2566",18490
"2d85d6ec39840f8051854b028fa13073","10676","65010100","202311162019","2566",22
"2d85d6ec39840f8051854b028fa13073","01339","14150303","202311152244","2566",1
